lat,lon,num_tweets,num_users
40.61,-79.93,490,52
40.27,-79.81,260,20
40.27,-79.96,59,33
40.36,-80.18,81,16
40.47,-79.84,3970,91
40.57,-79.97,366,51
40.51,-80.03,2520,257
40.4,-79.8,852,77
40.58,-79.92,100,26
40.55,-79.86,467,13
40.26,-80.1,281,16
40.38,-80.19,18,11
40.44,-80.18,215,130
40.28,-80.06,176,29
40.63,-80.16,563,13
40.55,-79.84,143,100
40.63,-79.82,7,6
40.27,-79.89,1844,209
40.33,-80.07,2834,315
40.38,-80.05,5103,599
40.27,-80.16,540,289
40.41,-79.84,2111,169
40.52,-80.09,417,95
40.42,-80.2,22,12
40.49,-79.97,3450,239
40.49,-80.12,689,101
40.41,-80.11,620,218
40.52,-80.11,241,22
40.54,-79.84,1944,680
40.64,-79.83,1,1
40.38,-80.09,1446,258
40.43,-80.15,256,127
40.4,-79.86,1486,206
40.29,-80.11,688,245
40.52,-79.84,11421,489
40.61,-79.89,362,76
40.31,-79.86,3657,25
40.64,-79.97,28,6
40.57,-79.85,283,28
40.35,-80.05,4048,1106
40.64,-80.02,7,4
40.47,-80.16,287,121
40.28,-79.8,15,5
40.63,-79.99,253,74
40.55,-80.17,79,17
40.47,-79.8,1696,48
40.46,-80.13,564,59
40.39,-79.98,8842,269
40.6,-80.05,2352,306
40.58,-79.95,496,80
40.58,-79.9,28,15
40.27,-80.13,3103,663
40.61,-80.15,29,14
40.57,-79.94,995,38
40.24,-80.0,311,11
40.53,-80.07,623,292
40.47,-79.99,3167,70
40.48,-79.83,1743,97
40.59,-80.02,507,72
40.28,-80.17,1467,199
40.31,-79.93,60,48
40.32,-79.99,954,90
40.25,-80.13,29,13
40.56,-80.16,58,27
40.58,-79.85,4,3
40.55,-80.0,1060,166
40.24,-79.99,17,4
40.62,-80.16,309,9
40.47,-79.88,537,19
40.4,-80.02,9231,408
40.48,-80.17,235,28
40.58,-79.88,382,70
40.34,-80.17,148,34
40.47,-80.09,297,120
40.58,-80.17,385,16
40.33,-79.82,1266,82
40.52,-79.86,393,66
40.29,-80.09,392,41
40.43,-79.9,1688,384
40.58,-79.94,2735,116
40.64,-79.8,1,1
40.26,-80.08,18,6
40.58,-80.2,72,4
40.25,-80.0,729,115
40.49,-80.0,1433,58
40.26,-79.87,62,26
40.37,-80.09,1531,149
40.34,-79.82,560,81
40.29,-79.98,1564,80
40.61,-80.04,388,26
40.36,-79.85,1840,123
40.38,-80.13,34,6
40.35,-80.04,1409,172
40.56,-79.99,1115,76
40.46,-80.19,2228,620
