GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US420030201002024,420030201002024,"Block 2024, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",321
1000000US420030201002025,420030201002025,"Block 2025, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002026,420030201002026,"Block 2026, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002027,420030201002027,"Block 2027, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002028,420030201002028,"Block 2028, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002029,420030201002029,"Block 2029, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002030,420030201002030,"Block 2030, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002031,420030201002031,"Block 2031, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002032,420030201002032,"Block 2032, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002033,420030201002033,"Block 2033, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002034,420030201002034,"Block 2034, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003000,420030201003000,"Block 3000, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003001,420030201003001,"Block 3001, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003002,420030201003002,"Block 3002, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003003,420030201003003,"Block 3003, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003004,420030201003004,"Block 3004, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003005,420030201003005,"Block 3005, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003006,420030201003006,"Block 3006, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",29
1000000US420030201003007,420030201003007,"Block 3007, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003008,420030201003008,"Block 3008, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003009,420030201003009,"Block 3009, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003010,420030201003010,"Block 3010, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003011,420030201003011,"Block 3011, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003012,420030201003012,"Block 3012, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003013,420030201003013,"Block 3013, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003014,420030201003014,"Block 3014, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201003015,420030201003015,"Block 3015, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",1
1000000US420030201003016,420030201003016,"Block 3016, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",0
